Name; Value; Unit; RDI; ; ; ; ; 
reserved5; Unable to decode; Hex; ; ; ; ; ; 
TV_tuner_0x2C; not_activated; ; ; ; ; ; ; 
TV_tuner_0x2C_msg_bus; not_activated; ; ; ; ; ; ; 
Amplifier_0x2D; not_activated; ; ; ; ; ; ; 
Amplifier_0x2D_msg_bus; not_activated; ; ; ; ; ; ; 
RearSeatEntertainment_0x2E; not_activated; ; ; ; ; ; ; 
RearSeatEntertainment_0x2E_msg_bus; not_activated; ; ; ; ; ; ; 
reserved6; Unable to decode; Hex; ; ; ; ; ; 
reserved7; Unable to decode; Hex; ; ; ; ; ; 
eCall_0x33; not_activated; ; ; ; ; ; ; 
eCall_0x33_msg_bus; not_activated; ; ; ; ; ; ; 
MFL_Jocker_0x34; not_activated; ; ; ; ; ; ; 
MFL_Jocker_msg_bus_0x34; not_activated; ; ; ; ; ; ; 
Special_Functions_0x35; not_activated; ; ; ; ; ; ; 
Special_Functions_msg_bus_0x35; not_activated; ; ; ; ; ; ; 
Trailer_Assistant_0x36; not_activated; ; ; ; ; ; ; 
Trailer_Assistant_msg_bus_0x36; not_activated; ; ; ; ; ; ; 
ENI_0x37; not_activated; ; ; ; ; ; ; 
ENI_0x37_msg_bus; not_activated; ; ; ; ; ; ; 
reserved8; Unable to decode; Hex; ; ; ; ; ; 
reserved9; Unable to decode; Hex; ; ; ; ; ; 
Range_Data_0x39; not_activated; ; ; ; ; ; ; 
Range_Data_msg_bus_0x39; not_activated; ; ; ; ; ; ; 
Pedestrian_Assist_0x3A; not_activated; ; ; ; ; ; ; 
Pedestrian_Assist_msg_bus_0x3A; not_activated; ; ; ; ; ; ; 
Seat_Pneumatic_0x3B; not_activated; ; ; ; ; ; ; 
Seat_Pneumatic_msg_bus_0x3B; not_activated; ; ; ; ; ; ; 
efficiency_assist_0x3C; not_activated; ; ; ; ; ; ; 
efficiency_assis_msg_bus_0x3C; not_activated; ; ; ; ; ; ; 
reserved10; Unable to decode; Hex; ; ; ; ; ; 
reserved11; Unable to decode; Hex; ; ; ; ; ; 
Seatmemory_driver_rear_0x3E; not_activated; ; ; ; ; ; ; 
Seatmemory_driver_rear_msg_bus_0x3E; not_activated; ; ; ; ; ; ; 
Seatmemory_codriver_rear_0x3F; not_activated; ; ; ; ; ; ; 
Seatmemory_codriver_rear_msg_bus_0x3F; not_activated; ; ; ; ; ; ; 
spoiler_0x40; not_activated; ; ; ; ; ; ; 
spoiler_0x40_msg_bus; not_activated; ; ; ; ; ; ; 
front_traffic_assist_0x41; not_activated; ; ; ; ; ; ; 
front_traffic_assist_0x41_msg_bus; not_activated; ; ; ; ; ; ; 
climate_master_0x42; not_activated; ; ; ; ; ; ; 
climate_master_0x42_msg_bus; not_activated; ; ; ; ; ; ; 
reserved12; Unable to decode; Hex; ; ; ; ; ; 
reserved13; Unable to decode; Hex; ; ; ; ; ; 
Soundcontrol_0x44; not_activated; ; ; ; ; ; ; 
Soundcontrol_0x44_msg_bus; not_activated; ; ; ; ; ; ; 
display_configuration_0x45; not_activated; ; ; ; ; ; ; 
display_configuration_0x45_msg_bus; not_activated; ; ; ; ; ; ; 
reserved14; Unable to decode; Hex; ; ; ; ; ; 
reserved15; Unable to decode; Hex; ; ; ; ; ; 
connection_manager_0x47; not_activated; ; ; ; ; ; ; 
connection_manager_0x47_msg_bus; not_activated; ; ; ; ; ; ; 
wireless_charging_0x48; not_activated; ; ; ; ; ; ; 
wireless_charging_0x48_msg_bus; not_activated; ; ; ; ; ; ; 
reserved16; Unable to decode; Hex; ; ; ; ; ; 
reserved17; Unable to decode; Hex; ; ; ; ; ; 
statistic_0x4A; not_activated; ; ; ; ; ; ; 
statistic_0x4A_msg_bus; not_activated; ; ; ; ; ; ; 
sunroof_front_0x4B; not_activated; ; ; ; ; ; ; 
sunroof_front_0x4B_msg_bus; not_activated; ; ; ; ; ; ; 
sunroof_rear_0x4C; not_activated; ; ; ; ; ; ; 
sunroof_rear_0x4C_msg_bus; not_activated; ; ; ; ; ; ; 
fas_profile_0x4D; not_activated; ; ; ; ; ; ; 
fas_profile_0x4D_msg_bus; not_activated; ; ; ; ; ; ; 
RemoteServices (0x4E) Availability; not_activated; ; ; ; ; ; ; 
remote_services_0x4E_msg_bus; not_activated; ; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
infotainmentsettings_profile_0x50; not_activated; ; ; ; ; ; ; 
infotainmentsettings_profile_0x50_msg_bus; not_activated; ; ; ; ; ; ; 
daf_profile_0x51; not_activated; ; ; ; ; ; ; 
daf_profile_0x51_msg_bus; not_activated; ; ; ; ; ; ; 
IAA_PSO_0x52; not_activated; ; ; ; ; ; ; 
IAA_PSO_0x52_msg_bus; not_activated; ; ; ; ; ; ; 
Mascot_0x53; not_activated; ; ; ; ; ; ; 
Mascot_0x53_msg_bus; not_activated; ; ; ; ; ; ; 
VAS_0x54; not_activated; ; ; ; ; ; ; 
VAS_0x54_msg_bus; not_activated; ; ; ; ; ; ; 
PaCo_0x55; not_activated; ; ; ; ; ; ; 
PaCo_0x55_msg_bus; not_activated; ; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
ENI2_0x58; not_activated; ; ; ; ; ; ; 
ENI2_0x58_msg_bus; not_activated; ; ; ; ; ; ; 
reserved20; Unable to decode; Hex; ; ; ; ; ; 
EngineFunctions_0x5D; not_activated; ; ; ; ; ; ; 
EngineFunctions_0x5D_msg_bus; not_activated; ; ; ; ; ; ; 
reserved21; Unable to decode; Hex; ; ; ; ; ; 
Trained_Park_Assist_0x5F; not_activated; ; ; ; ; ; ; 
Trained_Park_Assist_0x5F_msg_bus; not_activated; ; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
Car2X_0x61; not_activated; ; ; ; ; ; ; 
Car2X_0x61_msg_bus; not_activated; ; ; ; ; ; ; 
reserved22; Unable to decode; Hex; ; ; ; ; ; 
ITM_0x65; not_activated; ; ; ; ; ; ; 
ITM_0x65_msg_bus; not_activated; ; ; ; ; ; ; 
SoundControl2_0x66; not_activated; ; ; ; ; ; ; 
SoundControl2_0x66_msg_bus; not_activated; ; ; ; ; ; ; 
reserved18; Unable to decode; Hex; ; ; ; ; ; 
interieur_light_2_0x6A; not_activated; ; ; ; ; ; ; 
interieur_light_2_0x6A_msg_bus; not_activated; ; ; ; ; ; ; 
exterieur_light_2_0x6B; not_activated; ; ; ; ; ; ; 
exterieur_light_2_0x6B_msg_bus; not_activated; ; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
ENI3_0x6E; not_activated; ; ; ; ; ; ; 
ENI3_0x6E_msg_bus; not_activated; ; ; ; ; ; ; 
ENI4_0x6F; not_activated; ; ; ; ; ; ; 
ENI4_0x6F_msg_bus; not_activated; ; ; ; ; ; ; 
reserved; Unable to decode; Hex; ; ; ; ; ; 
reserved19; Unable to decode; Hex; ; ; ; ; ; 
reserved19; Unable to decode; Hex; ; ; ; ; ; 
