Name; Value; Unit; RDI; ; ; ; ; 
clima_slave_2_0x16; not_activated; ; ; ; ; ; ; 
clima_slave_2_0x16_msg_bus; CAN_Comfort; ; ; ; ; ; ; 
charisma_0x17; activated; ; ; ; ; ; ; 
charisma_0x17_msg_bus; CAN_Infotainment; ; ; ; ; ; ; 
Night_Vision_0x18; not_activated; ; ; ; ; ; ; 
Night_Vision_0x18_msg_bus; not_activated; ; ; ; ; ; ; 
LDW_HCA_0x19; activated; ; ; ; ; ; ; 
LDW_HCA_0x19_msg_bus; CAN_Extended; ; ; ; ; ; ; 
SWA_0x1A; activated; ; ; ; ; ; ; 
SWA_0x1A_msg_bus; CAN_Extended; ; ; ; ; ; ; 
AWV_0x1B; activated; ; ; ; ; ; ; 
AWV_0x1B_msg_bus; clamp_15; ; ; ; ; ; ; 
reserved2; Unable to decode; Hex; ; ; ; ; ; 
reserved3; Unable to decode; Hex; ; ; ; ; ; 
Hybrid_0x1D; not_activated; ; ; ; ; ; ; 
Hybrid_0x1D_msg_bus; CAN_Powertrain; ; ; ; ; ; ; 
SideView_0x1E; not_activated; ; ; ; ; ; ; 
SideView_0x1E_msg_bus; not_activated; ; ; ; ; ; ; 
Reversible_Seat_Belt_Tightener_0x1F; activated; ; ; ; ; ; ; 
Reversible_Seat_Belt_Tightener_0x1F_msg_bus; CAN_Powertrain; ; ; ; ; ; ; 
Passanger_Seat_0x20; not_activated; ; ; ; ; ; ; 
Passanger_Seat_0x20_msg_bus; CAN_Comfort; ; ; ; ; ; ; 
traffic_sign_recognition_0x21; activated; ; ; ; ; ; ; 
traffic_sign_recognition_0x21_msg_bus; CAN_Extended; ; ; ; ; ; ; 
weariness_recognition_0x22; activated; ; ; ; ; ; ; 
weariness_recognition_0x22_msg_bus; CAN_Infotainment; ; ; ; ; ; ; 
BCmE_0x23; activated; ; ; ; ; ; ; 
BCmE_0x23_msg_bus; CAN_Infotainment; ; ; ; ; ; ; 
Angle_Of_Slope_0x24; activated; ; ; ; ; ; ; 
Angle_Of_Slope_0x24_msg_bus; CAN_Comfort; ; ; ; ; ; ; 
Battery_Management_0x25; not_activated; ; ; ; ; ; ; 
Battery_Management_0x25_msg_bus; CAN_Powertrain; ; ; ; ; ; ; 
Brake_0x26; activated; ; ; ; ; ; ; 
Brake_0x26_msg_bus; CAN_Infotainment; ; ; ; ; ; ; 
Start_Stop_reasons_0x27; activated; ; ; ; ; ; ; 
Start_Stop_reasons_0x27_msg_bus; CAN_Infotainment; ; ; ; ; ; ; 
reserved4; Unable to decode; Hex; ; ; ; ; ; 
